time	event	lat	lng	x	y	accuracy
1425808258698	gps	52.892672563903034	-1.1576876789331436	-128873.20291648433	6929069.737425022	10
1425808259697	gps	52.89267491083592	-1.1576725076884031	-128871.51406124512	6929070.169408697	10
1425808260697	gps	52.89266833104193	-1.1576639581471682	-128870.56233066833	6929068.958311668	10
1425808261703	gps	52.8926605777815	-1.1576540675014257	-128869.46130902065	6929067.531223048	10
1425808262700	gps	52.89265437517315	-1.1576474457979202	-128868.72418435823	6929066.389552339	10
1425808263706	gps	52.89264708291739	-1.1576356273144484	-128867.40855679622	6929065.047318065	10
1425808264709	gps	52.89264134131372	-1.157623054459691	-128866.0089530068	6929063.990501584	10
1425808265617	gps	52.89263312704861	-1.157611571252346	-128864.73064821247	6929062.478560002	10
1425808266706	gps	52.89262881036848	-1.1575979087501764	-128863.209745428	6929061.684019388	10
1425808267712	gps	52.8926225239411	-1.1575808934867382	-128861.31561496634	6929060.526921548	10
1425808268712	gps	52.89261229801923	-1.157567398622632	-128859.81337356572	6929058.644709421	10
1425808269618	gps	52.89260643068701	-1.1575484555214643	-128857.70463718969	6929057.564751847	10
1425808270615	gps	52.892594151198864	-1.1575316917151213	-128855.83849880383	6929055.304555397	10
1425808271619	gps	52.892582206986845	-1.1575141735374928	-128853.88838419059	6929053.1060714135	10
1425808272668	gps	52.892575124278665	-1.1575066298246384	-128853.04862191695	6929051.802409267	10
1425808273621	gps	52.8925707237795	-1.1574994213879108	-128852.24618241102	6929050.992441771	10
1425808274618	gps	52.89256598800421	-1.1574891116470098	-128851.09850730372	6929050.120762556	10
1425808275613	gps	52.892562258057296	-1.1574811488389969	-128850.21209157043	6929049.434218818	10
1425808276620	gps	52.89255613926798	-1.1574776284396648	-128849.82020250939	6929048.307978658	10
1425808277614	gps	52.892553373239934	-1.15747201256454	-128849.19504615013	6929047.798856446	10
1425808278713	gps	52.89254842791706	-1.1574671510607004	-128848.65386601824	6929046.888607722	10
1425808279615	gps	52.892544656060636	-1.1574610322713852	-128847.97272550738	6929046.194350291	10
1425808280619	gps	52.89253803435713	-1.1574470344930887	-128846.4144999552	6929044.975542951	10
1425808281621	gps	52.89253149647266	-1.1574338749051094	-128844.94958132229	6929043.772163733	10
1425808282622	gps	52.892522318288684	-1.157418955117464	-128843.28871815884	6929042.082804755	10
1425808283622	gps	52.89251427166164	-1.1574030295014381	-128841.51588669229	6929040.601723208	10
1425808284669	gps	52.89250513538718	-1.157390708103776	-128840.14427497868	6929038.920078869	10
1425808285665	gps	52.892491850070655	-1.1573767941445112	-128838.59538011841	6929036.474752645	10
1425808286667	gps	52.89248124696314	-1.1573569290339947	-128836.38400613113	6929034.523120584	10
1425808287679	gps	52.89247139822692	-1.1573399137705564	-128834.48987566947	6929032.710340245	10
1425808288671	gps	52.89246004074812	-1.157323569059372	-128832.67039074325	6929030.619857903	10
1425808289676	gps	52.89244721643627	-1.1573026981204748	-128830.34704845285	6929028.259387723	10
1425808290675	gps	52.89243497885764	-1.1572837550193071	-128828.23831207684	6929026.00691357	10
1425808291677	gps	52.892419514246285	-1.1572607886046171	-128825.68170248819	6929023.160465979	10
1425808292679	gps	52.89241037797183	-1.157244946807623	-128823.91820171355	6929021.478825333	10
1425808293681	gps	52.89240187034011	-1.1572332959622145	-128822.62123553538	6929019.9128942285	10
1425808294688	gps	52.89239424280822	-1.1572205554693937	-128821.2029703621	6929018.508956257	10
1425808295691	gps	52.89238468743861	-1.1572090722620487	-128819.92466556779	6929016.750177174	10
1425808296689	gps	52.89237366523594	-1.1571952421218157	-128818.38510139944	6929014.721410554	10
1425808297695	gps	52.89236197248101	-1.1571808252483606	-128816.78022238759	6929012.569221441	10
1425808298698	gps	52.89235484786332	-1.157172778621316	-128815.88447596238	6929011.257852014	10
1425808299608	gps	52.89234843570739	-1.1571678332984447	-128815.33396513856	6929010.0776197165	10
1425808300702	gps	52.892340598627925	-1.1571594513952732	-128814.40089594561	6929008.635113811	10
1425808301605	gps	52.892332090996206	-1.1571467947214842	-128812.99196146429	6929007.069185238	10
1425808302659	gps	52.892320859245956	-1.157135060057044	-128811.68566459416	6929005.001851438	10
1425808303605	gps	52.89231201633811	-1.1571215651929379	-128810.18342319356	6929003.374212148	10
1425808304701	gps	52.89229889865965	-1.1571057233959436	-128808.41992241889	6929000.959752579	10
1425808305605	gps	52.89228355977684	-1.1570899654179811	-128806.66575233618	6928998.136455742	10
1425808306705	gps	52.892267759889364	-1.1570705194026232	-128804.50103180857	6928995.22830677	10
1425808307603	gps	52.89225577376783	-1.1570503190159798	-128802.2523350536	6928993.022125503	10
1425808308699	gps	52.89224127307534	-1.1570323817431927	-128800.25556698072	6928990.3531098245	10
1425808309599	gps	52.892228700220585	-1.1570186354219913	-128798.72533350432	6928988.038935106	10
1425808310603	gps	52.89221440907568	-1.1570028774440289	-128796.97116342161	6928985.4084906615	10
1425808311603	gps	52.89220196194947	-1.156992819160223	-128795.85148039009	6928983.117459116	10
1425808312606	gps	52.89219219703227	-1.1569837667047977	-128794.84376566172	6928981.32011833	10
1425808313614	gps	52.89218180347234	-1.1569759715348482	-128793.97601131228	6928979.407069359	10
1425808314650	gps	52.89217400830239	-1.1569681763648987	-128793.10825696285	6928977.972282932	10
1425808315652	gps	52.89216147735715	-1.1569565255194902	-128791.81129078467	6928975.6658257255	10
1425808316654	gps	52.892151083797216	-1.1569450423121452	-128790.53298599036	6928973.752778114	10
1425808317656	gps	52.89213989395648	-1.1569326370954514	-128789.1520435848	6928971.69316689	10
